i,H,r,Lz,γu,γd,M,energy,error_r,error_a
5,5.0,8.0,85.0,1.0,1.0,7,0.3472454567192925,8.608217655937343e-12,2.9891644715007715e-12
6,5.0,8.0,85.0,1.0,1.0,7,-0.0199740073345791,1.2244499558066534e-11,2.445717239840661e-13
7,5.0,8.0,85.0,1.0,1.0,7,0.04519974506334864,6.629290829638151e-12,2.9964225545242584e-13
8,5.0,8.0,85.0,1.0,1.0,7,-0.009071481088263209,1.6288057634092048e-11,1.4775680678980052e-13
9,5.0,8.0,85.0,1.0,1.0,7,0.13582436578479506,1.276404829180775e-11,1.7336687641034132e-12
10,5.0,8.0,85.0,1.0,1.0,7,-0.004627775213843414,1.7632926207800714e-10,8.160121883760141e-13
1,5.0,9.0,95.0,1.0,1.0,7,0.0014420463206379769,1.8423566947959843e-9,2.6567636979279996e-12
2,5.0,9.0,95.0,1.0,1.0,7,0.005579771625506524,2.0557780884667302e-10,1.1470772248722838e-12
3,5.0,9.0,95.0,1.0,1.0,7,193.9566616264273,5.421846509971369e-15,1.0516032489249483e-12
4,5.0,9.0,95.0,1.0,1.0,7,-0.007611217318392479,2.365643075487096e-10,1.8005423541023191e-12
5,5.0,9.0,95.0,1.0,1.0,7,0.3472454567192786,8.648342871946113e-12,3.003097770459817e-12
6,5.0,9.0,95.0,1.0,1.0,7,-0.019974007334577607,1.2319189737374671e-11,2.460635861734062e-13
7,5.0,9.0,95.0,1.0,1.0,7,0.045199745063335905,6.9109930891473564e-12,3.123751257660956e-13
8,5.0,9.0,95.0,1.0,1.0,7,-0.009071481088263915,1.6365887532855496e-11,1.4846283924452308e-13
9,5.0,9.0,95.0,1.0,1.0,7,0.13582436578478477,1.2839861777066959e-11,1.7439660826568115e-12
10,5.0,9.0,95.0,1.0,1.0,7,-0.00462777521384094,1.75794725381026e-10,8.135384726992712e-13
1,5.0,10.0,105.0,1.0,1.0,7,0.0014420463206331082,1.8457329512983686e-9,2.661632416203763e-12
2,5.0,10.0,105.0,1.0,1.0,7,0.005579771625504612,2.0592041521095407e-10,1.1489888901428102e-12
3,5.0,10.0,105.0,1.0,1.0,7,193.9566616264273,5.421846509971369e-15,1.0516032489249483e-12
4,5.0,10.0,105.0,1.0,1.0,7,-0.007611217318388123,2.3599200873407947e-10,1.7961864634541413e-12
5,5.0,10.0,105.0,1.0,1.0,7,0.34724545671927415,8.661131785415043e-12,3.007538662558318e-12
6,5.0,10.0,105.0,1.0,1.0,7,-0.01997400733458607,1.1895540092415253e-11,2.376016050575913e-13
