H,γu,γd,i,energy_exact
10.0,0.5,0.5,10,-0.010310688458277054
10.0,0.6,0.6,10,-0.009990693820755847
10.0,0.6,-0.6,10,-0.01376984544735449
10.0,-0.6,-0.6,10,-0.013830367518387149
10.0,0.95,0.95,10,-0.008870679484252159
10.0,0.95,-0.95,10,-0.014854465846278087
10.0,-0.95,-0.95,10,-0.01495017064668544
10.0,1.0,1.0,10,-0.008710673156631557
10.0,1.0,-1.0,10,-0.015009415141242502
10.0,-1.0,-1.0,10,-0.015110139015200003
5.0,0.3,0.3,10,-0.015319263784947926
5.0,0.5,0.5,10,-0.0122799022571837
5.0,0.6,0.6,10,-0.01075579066214627
5.0,0.6,-0.6,10,-0.02750532405407083
5.0,-0.6,-0.6,10,-0.02886690860911037
5.0,0.95,0.95,10,-0.005396655171464634
5.0,0.95,-0.95,10,-0.032003680281324734
5.0,-0.95,-0.95,10,-0.03408694726828643
5.0,1.0,1.0,10,-0.004627775213027402
5.0,1.0,-1.0,10,-0.03264831718368642
5.0,-1.0,-1.0,10,-0.03483080161049483
1.0,0.3,0.3,10,0.03529730957229525
1.0,0.5,0.5,10,0.08006272545079239
1.0,0.6,0.6,10,0.10480264326435254
1.0,0.6,-0.6,10,-0.091290300396496
1.0,-0.6,-0.6,10,-0.12190215930662318
1.0,0.95,0.95,10,0.2105710262736194
1.0,0.95,-0.95,10,-0.13825071297647296
1.0,-0.95,-0.95,10,-0.17292926241304704
1.0,1.0,1.0,10,0.22923794211683332
1.0,1.0,-1.0,10,-0.14513919368487013
1.0,-1.0,-1.0,10,-0.18000695578977463
